feature,importance
inactive_risk_score,0.27676733092337974
days_since_last_login,0.23733426238115019
engagement_score,0.12207025739722592
est_watch_time_3m,0.09335346120866996
watch_time_hours,0.0837378587496773
fee_usage_ratio,0.058679225749313134
recommendation_click_rate,0.01899714553585086
content_interest_score,0.018102801266805052
est_login_count_3m,0.01797005795768575
login_frequency,0.016955874412942225
competitor_content_index,0.012853320226766855
total_amount_spent,0.011813627981135529
subscription_length,0.010349916706395408
piracy_site_popularity,0.010149941661615876
monthly_fee,0.0031970750177098646
user_id,0.003142458790237463
subscription_price_index,0.002245089201736392
movies_watched,0.0016098828635264996
subscription_type_Premium,0.0002937912265397521
subscription_type_Basic,0.00019768225581125957
subscription_type_Standard,0.00017893848582493284
